Antibody,A_sasa,D_sasa,E_sasa,F_sasa,G_sasa,H_sasa,I_sasa,K_sasa,L_sasa,M_sasa,N_sasa,P_sasa,Q_sasa,R_sasa,S_sasa,T_sasa,V_sasa,W_sasa,Y_sasa
duligotuzumab,1.97529688,2.89889678,3.43996214,1.60466282,8.73053694,0,0.24199539,4.0764121,1.62529327,0,1.1067147,3.31425688,3.78275269,2.90723516,11.7281477,4.23907522,1.53733412,0.23180681,1.31884441
dupilumab,2.01311404,3.2470907,3.29223352,0.31978958,8.43506819,0,1.27805114,3.42638052,2.11850526,0,1.62808632,3.45995603,4.07618804,3.37121125,12.08841049,4.65454596,2.04790316,0,1.54550824
eculizumab,1.10527887,3.69436055,3.65670557,0.93619606,6.72227214,0,1.19509869,5.11393681,1.42085005,0,2.48574373,3.81131317,3.86797884,1.85824642,12.68148344,5.96144491,2.20693586,0.37435982,1.67703554
efalizumab,1.05961102,3.03986082,3.16808252,0.7636023,6.95666696,0.39762381,0.77638132,5.88503264,1.85320676,0,0.83598044,3.04585556,4.14515724,2.62631801,12.47606453,4.22232411,1.44598513,0,1.66006474
eldelumab,0.73248806,3.05577838,2.89434834,1.06313175,9.21995057,0,1.51345691,3.3530609,0.39404257,1.00539459,2.04306816,4.32709474,3.55960282,3.84241658,12.32893839,4.93205921,1.94789355,0.29597809,2.04525768
elotuzumab,1.7713544,5.05749576,2.43574348,0.12037519,6.82310742,0.15655214,1.61737523,4.40865708,1.60577962,0,1.99388389,3.8219612,3.86775333,2.70233829,11.28379913,3.82996555,1.79147895,0.70423521,1.31665354
emibetuzumab,1.08579094,3.20088937,2.06570946,0.10415213,7.85933667,0,0.88912849,4.5952837,0.46898672,0,1.26582964,3.10679328,4.02728543,2.41065022,13.72610776,5.76810595,1.87691144,0.26777777,2.38229579
enokizumab,1.03786856,2.24240456,3.23331764,0.11108212,9.0683087,0.57194914,0.95622581,5.73569558,0.69744453,0,0.25584614,3.50184743,4.21584427,1.26067371,13.11001562,5.22384067,1.74649073,0.15369136,3.39809932
epratuzumab,1.51048303,3.04717717,3.19531812,0.17386553,5.85836775,0.67464745,1.15443302,5.4872733,0.59784519,0,2.1091721,3.14415199,4.75942566,2.56429082,13.20980069,5.60914647,1.35249008,0.49164028,1.81582852
etrolizumab,1.01143711,2.67085335,3.24616913,1.43818149,7.28919045,0,0.50338309,4.21752687,1.89337424,0,1.67524838,3.20911472,3.91436116,2.56718787,15.6574442,3.68457825,1.26105575,0,1.11598629
evolocumab,2.74155313,1.34451323,3.25693079,0,8.49640048,0.17353609,0.4024305,4.27360676,0.8545638,0,3.65062664,3.12531659,4.06593511,2.26619673,12.57328766,6.38091933,2.09066542,0,2.89808376
farletuzumab,1.75517436,4.26157557,2.67306443,0.11219759,8.1474707,0,0.68862694,3.84488231,0.55958128,0.26258222,1.62013401,4.32973593,3.42094416,2.35114397,14.09533841,3.34227766,2.02635206,0.32980905,3.25086097
fasinumab,2.55424388,2.51078897,4.79843423,1.71449669,6.11658691,0,0.73737577,5.78591458,1.13637247,0,1.18378245,3.47451408,5.36408683,3.38153172,10.0575777,5.7809351,2.79057695,0,0.93903554
fezakinumab,2.62782708,3.78367148,2.04986758,0.73032947,9.02197036,0,0.80158245,2.94427328,1.43418428,0,1.59254225,3.92525079,4.08100161,3.32329444,11.65830029,5.19883441,1.92372606,0.11200735,2.64900532
ficlatuzumab,1.86503814,3.02252069,3.33471448,0,6.9154852,0.57980003,0.38657207,5.22873513,0.96456001,0.21769587,2.44209735,2.77644288,5.15760708,1.71111318,9.71749172,5.14947285,3.23808638,0.23254288,2.77881552
figitumumab,0.72678177,2.4686274,2.92653534,1.28957611,8.72902178,0.14388026,0.51450089,3.68665037,1.63909979,0,1.04992136,3.01801827,4.04281399,4.55967641,11.59181846,4.79684583,1.15876841,0.43251648,2.4969055
fletikumab,2.42455346,2.10124534,2.9486569,0.49334774,8.07268958,0.17961058,0.95234723,3.60181082,0.79101693,0,1.7365202,3.74276791,5.91453256,2.37853985,13.87146777,5.05777846,1.74253673,0.6502261,1.69215218
foralumab,2.33652309,2.41232768,2.7386366,0.11264092,7.90096665,0,0.39818157,4.59591968,1.08141705,0.44286373,1.90906531,3.64452772,2.94012807,3.99891771,11.1031697,3.46268446,2.25060365,0.77296271,2.57011996
fresolimumab,1.32280311,2.29438205,3.80443074,0.8972738,7.61914597,0,1.80055637,3.31225691,1.69076308,0,0.69700676,4.23276492,4.82676822,3.83935894,11.07696083,4.00083368,2.71965947,0,1.59293389
fulranumab,2.2239705,3.31285535,2.71818479,0.83331062,9.31404871,1.50174355,0.70675266,3.96969809,1.43732944,0.15213305,0.77218367,2.91165193,3.45394161,2.92224374,13.9088828,3.71935049,1.62284334,0.7549305,1.2986099
galiximab,2.36873846,1.84871829,2.38514546,0.89470721,7.90389964,0,0.61452183,4.65562244,5.25951358,0,1.70672016,3.97231756,1.9707288,1.37737877,11.51247894,7.35076533,2.64849412,0.12550094,2.51911061
ganitumab,2.13519641,2.1351993,2.25101577,0,7.26231615,0.8319521,0.46525259,4.8157465,1.38345287,0.31236631,1.50845796,4.91356898,4.33585309,2.41704289,15.10097569,3.69609686,2.07275662,0.66552084,1.00872067
gantenerumab,2.41574331,2.01039967,2.95809103,0.10055498,7.97542903,0.59188522,0.56239117,3.92654625,1.44530413,0.21623306,1.87185223,4.55173906,4.09253629,3.37737627,11.00958601,5.59978038,1.33369137,0,2.26919623
gemtuzumab,1.05339212,2.64031008,3.52318202,0.55237,6.5862718,0,0.39856537,5.16033702,0.44448357,0,3.33446776,4.37099982,4.29650623,1.96334247,10.85975672,4.97540099,2.83744436,0.3516598,3.13698659
gevokizumab,1.38922705,3.96008116,1.43628746,0.44758691,5.70763444,0.15178522,0.18395002,5.71578098,1.90319773,0.2897072,0.52519244,2.25021115,6.41774315,1.77918895,15.64562016,4.94188395,0.99421134,0.3203133,1.51375284
girentuximab,1.00874008,4.79598002,2.17876988,0.83387252,7.75531461,0,0.64372122,5.54381121,1.97710925,0.12414577,3.15214794,1.62437265,2.64889892,2.52182034,10.6421587,5.30090548,2.0861243,0,2.64423208
glembatumumab,2.54261345,0.89166936,2.40963066,0.87586754,6.36806939,0.26461589,0.55833309,3.55322976,1.20914949,0,2.64831145,3.58059268,5.01994068,1.81427628,13.30427009,6.36630845,1.24280131,0.92779457,2.06020866
golimumab,2.97477744,2.33111501,2.7444656,0.23837394,8.11160662,0,1.5995171,2.9667999,0.3684912,0,2.723316,4.44858578,3.88450375,3.63385862,10.58098504,4.30003405,2.67556467,0.39012085,2.42714194
guselkumab,1.54466865,2.37922363,2.55017089,0,8.92267261,0,0.44990013,4.78528862,1.75714827,0.42770653,1.38937524,3.98796712,3.80748678,1.45951539,13.98846736,3.71289213,2.21537586,0.51897743,2.18966674
ibalizumab,1.75477835,3.70248051,3.2308032,0,7.16498684,0,0.19406271,5.81458336,1.24200047,0,1.50626189,2.94952894,5.10276781,1.50742961,10.97052625,6.3057276,2.2087134,0,4.00693324
imgatuzumab,1.25735275,2.03378366,2.69005254,0.69156146,8.53302803,0.10161856,0.58980717,5.44449672,0.40452662,0,3.08340071,3.5219379,5.88075513,1.67471485,10.84028204,5.66113404,1.88832442,0,2.30685649
infliximab,0.89542692,2.37696686,5.43284166,0.65105361,6.08632423,0.60745247,2.01535868,3.82243376,1.38069044,0.33445149,2.93476345,2.6040361,2.06367874,2.58400629,13.54671238,4.63159603,1.45158074,0.32080746,1.76153115
inotuzumab,1.80484402,2.17445282,3.03686605,0.1765332,8.57248195,0.17204374,0.74249786,4.50814303,0.65006145,0,3.14266903,3.15944543,4.61255809,3.55759323,11.64161059,4.45562004,1.86778923,0.14331802,3.62804238
ipilimumab,1.06475796,2.54276897,2.75467993,0.74383186,8.21442147,0,0.25398161,3.63349145,1.39515309,0,2.19937903,3.14210199,4.36167451,4.02264971,11.07757586,4.46656576,2.06204182,0.60679604,2.00511872
ixekizumab,1.59865983,2.69616829,3.20117754,0.82012644,7.2297931,1.21013128,0.95284086,4.56941481,1.41485303,0.36714039,0.81242036,3.42236053,5.02410207,4.06134961,10.12408899,3.9299608,2.94125083,0,2.71319852
lampalizumab,0.89398915,4.80247794,3.59064668,0,8.02837306,0,0.62872797,5.10597051,1.86756866,0,1.25631373,4.66438308,3.46965516,1.29893981,10.43369517,5.50117276,3.09225114,0.1081747,1.30115319
lebrikizumab,2.59863123,4.67088614,2.18241333,0.22827314,7.00884852,0,0.57306861,4.85608179,1.97212901,0,2.11844279,3.11740741,3.02461752,2.16358859,11.60170587,5.65612057,1.97996773,0.17792408,2.82286967
lenzilumab,2.11101148,1.57716877,3.39857948,0.76103569,7.64325194,0,0.47176613,4.7449674,0.55275598,0,2.23648956,3.40425272,5.1666409,4.01299243,10.28184879,5.7203187,2.06295783,0.13027967,1.78547353
lintuzumab,0.96181623,2.93862258,2.88759127,0.32607851,7.26285501,0,1.06210625,5.7560359,0.59039705,0,1.76124297,3.35521399,5.30850113,2.08644074,12.56101609,4.39141076,2.18585124,0,3.57378026
lirilumab,2.35911648,1.50594325,3.35161475,1.27130392,7.10503464,0,1.27928339,3.53784865,0.17742451,0,1.27889664,3.60310694,4.98750782,2.36824413,11.65763072,5.45483152,3.00236116,0.54799934,2.69008092
lumiliximab,2.26035942,2.69447106,3.34968273,1.2563512,8.22839362,0,0.17684404,3.78244288,1.67709732,0,2.2972199,3.59694049,4.8164202,3.9191635,11.86724901,4.24376488,1.26988516,0.24217703,1.68987707
matuzumab,1.12111932,2.84325456,2.63253545,0.2263253,6.47027367,0.49061958,0.8181164,5.36589952,0.81997388,0,1.57201489,3.05396988,4.15177796,2.36841806,14.85551826,5.99966217,1.75832531,0.29615928,2.23521613
mavrilimumab,2.45677688,1.4246641,4.67159333,0.42003437,9.55596561,0.17785685,0.36405113,3.85211234,1.9586639,0.37696262,1.23348203,4.46186607,4.33064952,2.00167619,11.53348032,6.02109629,2.36070623,0,1.22026255
mepolizumab,2.25127269,3.57322281,1.63739492,0.59278362,7.11777071,0.29165442,0.36865429,3.7892403,1.93672071,0.45944927,1.9336109,4.17137745,3.67228652,2.62126976,13.22238978,7.23223115,2.10897383,0.15782154,0.78893288
mogamulizumab,2.52906803,3.89047696,3.65942737,0.60254129,7.60168265,0.21571262,1.51711754,3.86255518,2.99840814,0,2.95632735,3.88880954,3.36590196,3.32669072,10.50591073,2.79960506,1.69481458,0,1.82491652
motavizumab,2.03170643,4.18940819,1.23966245,1.25431409,5.51808984,0.15624654,0.69584677,6.52332458,0.77020134,0.10608732,0.8200185,4.42590782,3.19113273,2.28637736,11.95694942,7.39072162,1.1128309,0.27940825,1.05604463
muromonab,2.94757547,2.25140129,2.88984672,0,6.40494099,0.4224281,0.78679226,5.56004517,0.85991154,0.17799219,1.02179,2.44261123,4.9926711,2.99957834,14.30202655,5.50069907,0.70753281,0.13605964,1.96631541
natalizumab,2.36929999,3.80176059,1.97026701,0.15456018,7.81101807,0,0.70716646,5.49347286,1.12238459,0,2.50996164,4.37912346,4.81771393,2.59830916,10.08224189,3.52836812,1.72705471,0,3.3045184
necitumumab,2.56930597,1.70127778,2.2986784,0.79684092,8.64116779,0,0.84561347,4.40675202,1.25396207,0,0.99450183,4.86165897,4.40708274,2.11782352,13.51485083,6.27515561,1.16208625,0,2.37393822
nimotuzumab,1.18524347,2.20324352,3.01554791,0.81281375,7.28095529,0.56023522,0.43392855,4.23108929,1.11947816,0,2.27590112,2.90002988,5.15960944,2.66794495,14.71935287,6.35820315,2.18561986,0.7704455,0.97469047
nivolumab,2.18434858,2.88112706,3.04378295,0.43673589,7.53759216,0,0.41390663,3.81543895,0.882283,0,2.73148264,3.1535674,4.51042345,4.41790462,11.76934898,3.54877088,2.01846038,0.52885138,1.99743938
obinutuzumab,1.68591275,4.38489225,3.12609534,0.63095598,8.68655685,0.42757782,0.69843902,5.76770903,2.47183928,0.12831755,1.11909304,3.93546997,3.37514057,1.62879225,10.95261804,3.30929769,2.58930204,0.11680069,2.09881939
ocrelizumab,1.24425634,2.42725445,2.48289181,0.76929582,7.57965318,0,0.17501665,5.06689263,1.6289676,0,2.51157965,3.2729689,3.98219368,2.00299714,13.89263384,4.03493954,1.76339038,0.26679764,2.49072721
ofatumumab,3.41837156,1.61553847,3.93070842,0.20483882,8.93704529,0,0.91874083,3.010723,1.23784587,0,2.38045704,3.4489246,3.79757656,3.69820246,10.05130888,5.01060435,1.81960524,0.92961971,2.46601612
olaratumab,2.36620106,1.28040558,2.65385039,0.42859377,7.766632,0,0.32680061,2.81527513,1.47832134,0.3528986,1.90581856,4.01373211,4.92152378,2.86200881,14.47189325,6.08537118,1.06691011,0.36785007,3.18896851
olokizumab,0.75283068,3.70518357,3.81535282,0.22199331,7.58136047,0,0.85707665,4.63978837,1.84977921,0,3.35642481,2.87868817,5.38614844,1.51203699,10.66666403,4.0572173,1.14054503,0,3.58885922
omalizumab,1.55209827,4.25736961,3.12665547,0.63008976,8.92693997,0.86276503,0.19723192,4.16430133,1.37785709,0,0.87941475,3.43917359,3.71466782,2.65100411,12.61078437,3.82796876,1.5915311,0.10186952,2.75390235
onartuzumab,1.57340141,3.19601467,2.86168504,0.50657575,6.24266775,0,0.20007294,5.1080535,1.49827305,0,1.67039301,3.18202672,4.53196479,2.93159636,13.626562,5.36254881,1.4352131,0.36521312,2.36890264
otelixizumab,1.22565615,4.24535842,3.35663098,0.7015139,9.44715048,0.38284447,1.04968654,3.16675444,2.55845116,0,3.88196094,1.91669231,2.78308597,3.58178347,11.6191071,4.17071732,1.0192148,0,2.66158107
otlertuzumab,2.77716887,1.71563451,4.87683534,0.49202803,7.59856088,0,0.90587242,6.04139048,0.92483513,0.34770252,1.15230637,3.50900547,2.76844202,2.18550841,10.14891866,4.03321761,2.58629633,0.10370052,3.13055447
ozanezumab,1.30638559,2.47472985,3.20883639,0,7.6235713,0,0.21176113,5.92307841,2.54179402,0.44663624,1.55613488,3.65947244,4.56349247,2.53940506,11.52162928,4.52920022,2.54485473,0.30486074,2.79333136
palivizumab,1.80869957,3.68662017,0.98030645,0.3039197,6.29435635,0,0.12919744,6.63880712,1.56737996,0.20213873,1.17310203,4.10590521,3.13393972,1.40356392,12.7731235,8.09641005,1.05645421,0.64140571,0.89773421
panitumumab,1.29821131,3.45818101,1.29933051,0.12913285,7.51006967,0.41414753,1.08140218,4.83670512,1.2621476,0.38267757,1.53295574,3.97040077,4.84411691,1.13861959,14.06707007,6.44538054,0.83189072,0,1.75376022
panobacumab,2.59609997,3.85519478,2.49268982,0.65926782,9.049844,0.26452398,0.26300907,2.90902245,1.24657185,0.45589162,1.51302942,4.09257059,3.58114625,4.01764213,10.5467949,3.16936149,2.86960058,0.68153015,1.90589246
parsatuzumab,1.21876266,3.81664629,2.62297703,0.37303116,6.98020174,1.68532798,1.83782677,5.25147085,1.32428948,0,2.28100195,2.99312089,4.66003707,2.34633443,11.14648468,3.62402034,2.09440388,0,1.88942433
patritumab,2.4614272,2.41718201,3.41479521,0,6.96264002,0.33148476,0.20495335,4.10592787,1.93622335,0,1.75705338,2.95117668,3.9044393,2.67097205,14.48674317,4.97369057,0.90909187,1.00632843,1.98423321
pembrolizumab,1.9615261,1.74827042,3.53495588,0.93482651,8.3117773,0,0.51964039,4.96117674,0.78347763,0.17514942,2.24157823,3.51888825,3.50349997,2.91001437,10.33793012,5.36305595,2.82296786,0,2.75029445
pertuzumab,1.03175689,2.68180726,2.2798317,0.26065133,7.71612738,0,1.66910114,4.4189323,1.79377003,0,1.20090056,3.92004039,4.37766124,3.0671843,11.4916264,4.52345838,1.32946619,0,2.54620644
pinatuzumab,1.18207901,2.97104233,3.22474468,0.99017098,9.22018441,0.30161974,0.23146517,5.07334566,1.29444772,0,1.55588128,2.93396529,4.11440054,3.41607075,13.00352512,3.41495443,2.38723287,0.99150031,0.50399947
polatuzumab,1.30470655,3.64194747,4.32207596,0.70283909,9.79046111,0,1.17611881,4.17534979,1.77196935,0,1.72876112,3.70919979,3.70375855,2.50536082,12.01148041,3.87462462,1.76953101,0.17448603,1.90395406
ponezumab,3.31281375,3.26654544,2.72113367,0,6.23979329,0.25126856,0.45121818,3.79261754,2.41869317,0,0.55195713,4.61260611,5.27991826,3.68564408,9.91335643,4.49723664,1.99950021,0.18755001,3.81573994
radretumab,1.19978261,2.15709052,3.83603968,1.11107799,8.59439875,0,1.01982467,3.31180535,1.84247445,0,0.87225636,4.21701221,3.78986714,3.9815785,12.40933371,5.35311806,1.10900899,0,1.78050083
ramucirumab,2.99448818,3.09945544,2.34460556,0.66294,8.71721833,0,1.52661327,5.32085072,1.18196465,0.38352795,1.59232445,2.57461596,3.08291838,1.98255372,12.45162677,4.13762438,1.60633216,0.3348978,2.21278515
ranibizumab,1.71134843,3.39317711,2.99626162,0.62061226,7.47841355,0.68451848,0.22863976,4.14713408,1.91776895,0,0.73570138,3.16533785,3.77793298,2.35520711,12.56469847,5.04270786,1.993141,0.48000746,3.24163165
reslizumab,2.34567991,2.83180771,3.08660233,0.67467976,7.33807119,0,0,4.76129255,2.16330081,0,1.85929551,2.82435559,3.48635818,2.01889915,13.41410314,4.82060301,1.58951987,0.20435593,2.76165942
rilotumumab,2.39476381,1.39173558,2.74006025,0.73325046,6.59087479,0,1.35262251,3.45884521,1.18913375,0,1.29688524,3.92080669,4.70702488,2.29071088,14.49600108,5.9188283,1.04637018,0.54548635,1.89622898
rituximab,3.91751629,0.89778603,2.49301634,0,8.39647733,0,0.72849768,5.65552421,0.97077525,0,2.0237857,3.65604433,3.97698181,1.54739611,12.83268511,4.84519926,1.80303056,0.4049385,2.44660475
robatumumab,2.19007329,2.25461939,3.97517151,0.96726562,8.72650918,0,0,3.79445303,1.0883285,0,1.76608436,3.54771794,3.67737227,4.35893417,10.84677593,4.61955888,1.88354973,0,1.24218676
romosozumab,1.42832182,4.57010681,2.31324033,0.11420791,8.29815109,0,1.28574241,5.3413455,1.10457895,0,1.15787962,3.28842113,3.8166202,2.40685843,12.37791225,5.80755929,2.2486515,0.16930859,2.48178695
sarilumab,2.50049954,3.50388346,3.41911572,0.79955258,7.75186807,0,0.71518415,3.46587857,1.3113794,0.39279091,1.93606031,2.76049052,3.6441294,4.65251669,12.005241,3.74312902,1.58460783,0.95545814,0.89307297
secukinumab,1.37478263,2.7889054,4.12347724,0.51703408,8.42853463,0.11115413,0.78062403,3.11129947,1.62270958,0,1.33557341,3.58015855,2.92946902,4.5391041,11.65431801,3.95736135,2.28940781,0,3.19788119
seribantumab,2.65910682,1.25517458,3.21012081,2.06829813,9.95112679,1.00346355,0.21021931,3.85276023,2.71405443,0.70288033,2.55974491,2.44179661,3.73717712,1.44709204,13.9377067,4.70016489,0.66229772,0.50318726,1.4079359
sifalimumab,1.56152548,1.80959652,2.79932376,0.11885264,7.92374342,0,0.45121685,3.76374284,0.62986997,0,1.44117541,3.88800134,5.85786863,3.74639242,11.87613489,6.4129452,1.96440597,0.29827582,2.71172433
siltuximab,2.69261462,1.40248361,3.99065927,0.265292,7.36668689,0,1.45784151,4.93767421,1.13655962,0.39590617,1.06163467,3.15677248,1.53140586,1.52369127,14.30242426,4.17693218,1.59821289,0.68761993,2.93237673
simtuzumab,2.10189018,1.96197799,3.63676311,0,8.79798647,0.29426113,0.21802338,5.58368381,1.93407556,0.66071037,1.96926871,3.4577964,4.16193364,1.93821878,11.66606407,4.37288088,2.46271013,0.4946727,2.24790571
sirukumab,3.41793806,1.86506618,3.87551731,0.6965343,10.0796021,0,0.67129978,2.6538666,1.29270663,0.35230122,1.32613653,4.78265728,2.54385062,2.12678304,11.06134548,5.07891964,1.73351181,1.46889275,1.9784017
